model,model_family,polynomial_degree,smoothing_lambda_standardized,selection_score_rmse,train_rmse,train_mae,train_r2,loocv_rmse,loocv_mae,loocv_r2,triplet_cv_rmse,triplet_cv_mae,triplet_cv_r2,best_polynomial,best_smoothing_spline,selected
cubic_smoothing_spline_lambda_1e-06,smoothing_spline,,1e-06,0.470958308559935,0.2621336156854064,0.16424994394453285,0.9948540014594907,0.40903515533849255,0.2582741794907271,0.9874701608818239,0.5328814617813774,0.3224130233712674,0.9782207112597499,0,1,1
cubic_smoothing_spline_lambda_1e-07,smoothing_spline,,1e-07,0.484054470642317,0.15062660171089062,0.09641934335071443,0.9983008662004036,0.39480327338899396,0.2554699372360139,0.988326913262885,0.57330566789564,0.3418668335587514,0.9747910394049932,0,0,0
cubic_smoothing_spline_lambda_3e-06,smoothing_spline,,3e-06,0.4843067946457054,0.3106630617092642,0.1896893939715902,0.992772244396655,0.426542206357562,0.2621768461617965,0.9863746318640592,0.5420713829338488,0.3307147511490486,0.9774630350217915,0,0,0
cubic_smoothing_spline_lambda_1e-05,smoothing_spline,,1e-05,0.52033906244201,0.3697979890359627,0.22776075629315706,0.9897587418571866,0.46241014756896387,0.28558747129549,0.9839867702371815,0.5782679773150562,0.36634673117630506,0.9743527529729447,0,0,0
cubic_smoothing_spline_lambda_1e-08,smoothing_spline,,1e-08,0.5406466325006141,0.044043595211869645,0.027775488562829707,0.9998547253800373,0.41158412196013006,0.26387181969729967,0.9873135109947219,0.6697091430410981,0.4243709301067327,0.9656002786380508,0,0,0
cubic_smoothing_spline_lambda_1e-09,smoothing_spline,,1e-09,0.5664345389377476,0.005800688348230559,0.003618544399812869,0.9999974801001035,0.4241781465533122,0.2694340174311304,0.9865252473075243,0.7086909313221832,0.4521395319686728,0.9614791182678951,0,0,0
cubic_smoothing_spline_lambda_3e-05,smoothing_spline,,3e-05,0.5685109455819668,0.43393830154419155,0.2767563455800682,0.9858980168143378,0.5126985655680504,0.3281980682773519,0.9803144103618833,0.6243233255958833,0.4068550581309651,0.9701047912162498,0,0,0
cubic_smoothing_spline_lambda_1e-04,smoothing_spline,,0.0001,0.6366127045085148,0.5162664560470153,0.33754835816875306,0.9800394713615258,0.5842832533733412,0.3839724816016538,0.9744335104526878,0.6889421556436885,0.4600060321184538,0.9635960937041754,0,0,0
cubic_smoothing_spline_lambda_3e-04,smoothing_spline,,0.0003,0.7057834100871867,0.5981972292393637,0.4035358535894775,0.97320134380286,0.6581045190561783,0.44616389999180395,0.967564995020926,0.7534623011181951,0.5137539605056007,0.9564582856960501,0,0,0
cubic_smoothing_spline_lambda_1e-03,smoothing_spline,,0.001,0.7754438298868145,0.6838571861053805,0.476013233410812,0.9649768622092189,0.7346019934433261,0.5136063075826849,0.959586317244084,0.8162856663303028,0.5764725409253391,0.9488945979009736,0,0,0
polynomial_degree_9,polynomial,9.0,,0.8226655406750127,0.6893168376812794,0.4759330488618719,0.9644154074984947,0.7459760017351051,0.5199523601634329,0.9583251605369826,0.8993550796149203,0.6362929271908326,0.9379638478452393,1,0,0
polynomial_degree_7,polynomial,7.0,,0.8248673065482075,0.7203361441695365,0.48798420730518743,0.9611407301092105,0.7751587174366529,0.5294509209457258,0.9550007273724677,0.8745758956597621,0.6105998483359917,0.9413352160416153,0,0,0
polynomial_degree_10,polynomial,10.0,,0.833210240861272,0.6611999064898142,0.47166881575408076,0.9672591620825698,0.7530246326869795,0.5398659703346828,0.9575338794012751,0.9133958490355647,0.6425147831651871,0.9360117053644248,0,0,0
polynomial_degree_6,polynomial,6.0,,0.85118383869849,0.7636225225721267,0.5033524483694428,0.9563301519064787,0.8105928288503658,0.5380349888502985,0.9507926771653546,0.8917748485466144,0.6023361729432033,0.939005186533293,0,0,0
polynomial_degree_14,polynomial,14.0,,0.8574862549597491,0.5588057127591174,0.3893200511523219,0.9766145410494422,0.6963822469330645,0.4819333309129917,0.9636821939596211,1.0185902629864336,0.6248912007978895,0.9204241091458412,0,0,0
polynomial_degree_8,polynomial,8.0,,0.8588313330950348,0.7097259100380204,0.4769102838084829,0.9622770590647943,0.7716801014217116,0.525180518193265,0.9554037002136692,0.945982564768358,0.6325685172308366,0.9313645109068172,0,0,0
polynomial_degree_12,polynomial,12.0,,0.8887616905356153,0.5993220351517351,0.406313922549015,0.973100468623019,0.6974773630739365,0.474071358899503,0.9635678789027743,1.080046017997294,0.6394916798415603,0.9105321525107766,0,0,0
polynomial_degree_11,polynomial,11.0,,0.9422742173441641,0.6587998768214214,0.4562260561778507,0.9674964167108105,0.7813646711482776,0.534898847990013,0.9542773108797511,1.1031837635400505,0.6835993806537896,0.9066577658911115,0,0,0
polynomial_degree_5,polynomial,5.0,,1.006512671664026,0.8909644494501818,0.6919931162900043,0.9405509424741705,0.9514114593511803,0.7393853949814472,0.9322107266025803,1.0616138839768716,0.8174553091398733,0.9135598229016538,0,0,0
polynomial_degree_3,polynomial,3.0,,1.0097681381037864,0.9489345445958642,0.7381332341851544,0.9325632337808665,0.9820774656629643,0.7660030247713416,0.9277703159851426,1.0374588105446088,0.8137582351326322,0.9174486470951974,0,0,0
polynomial_degree_4,polynomial,4.0,,1.0239165375612687,0.9389762088253415,0.7157667787726923,0.9339712006923996,0.9867460581646785,0.7537376815313382,0.9270819538375887,1.061087016957859,0.8126167869010619,0.9136456001847287,0,0,0
polynomial_degree_2,polynomial,2.0,,1.2036497770548018,1.14260997767721,0.8625717030136333,0.9022267059262583,1.1752724338635987,0.8892733058301698,0.8965569487016471,1.2320271202460051,0.9362384605223965,0.8835812305408263,0,0,0
polynomial_degree_13,polynomial,13.0,,1.2168470825727038,0.593771678312525,0.38439192740640976,0.9735963978294008,0.6908098047719976,0.4567783023811179,0.9642610977379353,1.74288436037341,0.7274241089570138,0.7670194778438285,0,0,0
polynomial_degree_15,polynomial,15.0,,1.6775365545951206,0.5453042699682671,0.3716201146204039,0.9777309331118802,0.8594915352083676,0.4914444287384578,0.944676782418337,2.4955815739818736,0.7845996752807772,0.522332152384089,0,0,0
polynomial_degree_1,polynomial,1.0,,2.556161322318891,2.4557128880740744,1.9736990692125753,0.5483735157091705,2.5174080457766888,2.0194337239717743,0.5253959338535044,2.5949145988610933,2.0702954416054364,0.483549612778276,0,0,0
polynomial_degree_16,polynomial,16.0,,3.34542477262038,0.5402010629839125,0.3857836965600376,0.9781457910149708,0.9119164175822231,0.5367918908998144,0.9377220523625585,5.778933127658537,1.255805525051953,-1.561402367141166,0,0,0
